
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=1,2,3,4,5
L2_REG_LAMBDA=0.0
LABELS_DATA_FILE=./nlp_features/gop_onehotlabels.npy
LOG_DEVICE_PLACEMENT=False
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
SENTENCES_DATA_FILE=./nlp_features/gop_sentences_list_of_strings.npy
UNROLLED_LSTM=False

Loading data...
Vocabulary Size: 13924
Train/Dev split: 12484/1387
Writing to /atlas/u/jdunnmon/tutorial/cnn-text-classification-tf/runs/1488504630

2017-03-02T17:32:20.921138: step 1, loss 3.41974, acc 0.25
2017-03-02T17:32:21.001122: step 2, loss 1.87253, acc 0.375
2017-03-02T17:32:21.070092: step 3, loss 2.24352, acc 0.4375
2017-03-02T17:32:21.138808: step 4, loss 2.90838, acc 0.5
2017-03-02T17:32:21.205493: step 5, loss 2.34057, acc 0.578125
2017-03-02T17:32:21.272857: step 6, loss 2.17, acc 0.5625
2017-03-02T17:32:21.347673: step 7, loss 2.64404, acc 0.5
2017-03-02T17:32:21.422142: step 8, loss 1.75038, acc 0.5625
2017-03-02T17:32:21.496908: step 9, loss 1.93575, acc 0.5
2017-03-02T17:32:21.566708: step 10, loss 2.58858, acc 0.421875
2017-03-02T17:32:21.651072: step 11, loss 1.92131, acc 0.453125
2017-03-02T17:32:21.720843: step 12, loss 2.11611, acc 0.375
2017-03-02T17:32:21.786036: step 13, loss 2.0801, acc 0.46875
2017-03-02T17:32:21.869197: step 14, loss 1.65711, acc 0.515625
2017-03-02T17:32:21.942484: step 15, loss 2.44215, acc 0.3125
2017-03-02T17:32:22.016757: step 16, loss 2.20241, acc 0.375
2017-03-02T17:32:22.095934: step 17, loss 2.03004, acc 0.46875
2017-03-02T17:32:22.167336: step 18, loss 1.52121, acc 0.640625
2017-03-02T17:32:22.238415: step 19, loss 1.69791, acc 0.59375
2017-03-02T17:32:22.320188: step 20, loss 2.13645, acc 0.484375
2017-03-02T17:32:22.394120: step 21, loss 1.97194, acc 0.5625
2017-03-02T17:32:22.456559: step 22, loss 1.92875, acc 0.5625
2017-03-02T17:32:22.549432: step 23, loss 2.53641, acc 0.53125
2017-03-02T17:32:22.622656: step 24, loss 1.93189, acc 0.578125
2017-03-02T17:32:22.694944: step 25, loss 2.50022, acc 0.53125
2017-03-02T17:32:22.768308: step 26, loss 1.27203, acc 0.65625
2017-03-02T17:32:22.836224: step 27, loss 1.95562, acc 0.59375
2017-03-02T17:32:22.912096: step 28, loss 2.34654, acc 0.5625
2017-03-02T17:32:22.986781: step 29, loss 1.81604, acc 0.515625
2017-03-02T17:32:23.056710: step 30, loss 2.2751, acc 0.484375
2017-03-02T17:32:23.127605: step 31, loss 1.8904, acc 0.53125
2017-03-02T17:32:23.198379: step 32, loss 2.18769, acc 0.421875
2017-03-02T17:32:23.269834: step 33, loss 1.78841, acc 0.546875
2017-03-02T17:32:23.339954: step 34, loss 1.71423, acc 0.5625
2017-03-02T17:32:23.427837: step 35, loss 1.73837, acc 0.5625
2017-03-02T17:32:23.500767: step 36, loss 2.17414, acc 0.453125
2017-03-02T17:32:23.573421: step 37, loss 1.81338, acc 0.515625
2017-03-02T17:32:23.637391: step 38, loss 1.58854, acc 0.546875
2017-03-02T17:32:23.710342: step 39, loss 1.83584, acc 0.5
2017-03-02T17:32:23.775265: step 40, loss 1.79691, acc 0.53125
2017-03-02T17:32:23.843960: step 41, loss 1.67861, acc 0.53125
2017-03-02T17:32:23.924647: step 42, loss 1.71947, acc 0.53125
2017-03-02T17:32:23.996724: step 43, loss 1.66156, acc 0.5625
2017-03-02T17:32:24.084962: step 44, loss 2.00293, acc 0.421875
2017-03-02T17:32:24.161530: step 45, loss 1.75781, acc 0.546875
