
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=1,2,3,4,5
L2_REG_LAMBDA=0.0
LABELS_DATA_FILE=./nlp_features/econ_health_onehotlabels.npy
LOG_DEVICE_PLACEMENT=False
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
SENTENCES_DATA_FILE=./nlp_features/econ_health_sentences_list_of_strings.npy
UNROLLED_LSTM=False

Loading data...
Vocabulary Size: 12499
Train/Dev split: 2610/289
Writing to /atlas/u/jdunnmon/tutorial/cnn-text-classification-tf/runs/1488526215

2017-03-02T23:32:23.042916: step 1, loss 3.72976, acc 0.34375
2017-03-02T23:32:23.153792: step 2, loss 2.75646, acc 0.46875
2017-03-02T23:32:23.262151: step 3, loss 2.41539, acc 0.453125
2017-03-02T23:32:23.374722: step 4, loss 2.48761, acc 0.59375
2017-03-02T23:32:23.480803: step 5, loss 2.0819, acc 0.453125
2017-03-02T23:32:23.573565: step 6, loss 3.86937, acc 0.296875
2017-03-02T23:32:23.664761: step 7, loss 1.91142, acc 0.53125
2017-03-02T23:32:23.769225: step 8, loss 2.84098, acc 0.453125
2017-03-02T23:32:23.876783: step 9, loss 2.29883, acc 0.484375
2017-03-02T23:32:23.976247: step 10, loss 2.63186, acc 0.421875
2017-03-02T23:32:24.080389: step 11, loss 3.75415, acc 0.4375
2017-03-02T23:32:24.180733: step 12, loss 2.76966, acc 0.40625
2017-03-02T23:32:24.290382: step 13, loss 2.15203, acc 0.484375
2017-03-02T23:32:24.389339: step 14, loss 3.0408, acc 0.453125
2017-03-02T23:32:24.479959: step 15, loss 2.40229, acc 0.5
2017-03-02T23:32:24.582681: step 16, loss 2.58192, acc 0.421875
2017-03-02T23:32:24.684323: step 17, loss 2.96065, acc 0.375
2017-03-02T23:32:24.788941: step 18, loss 2.82685, acc 0.46875
2017-03-02T23:32:24.890173: step 19, loss 2.91805, acc 0.484375
2017-03-02T23:32:24.992627: step 20, loss 2.68184, acc 0.484375
2017-03-02T23:32:25.094461: step 21, loss 2.96591, acc 0.421875
2017-03-02T23:32:25.197822: step 22, loss 2.8683, acc 0.34375
2017-03-02T23:32:25.304344: step 23, loss 2.42226, acc 0.4375
2017-03-02T23:32:25.406126: step 24, loss 2.39304, acc 0.515625
2017-03-02T23:32:25.510982: step 25, loss 2.32298, acc 0.515625
2017-03-02T23:32:25.619614: step 26, loss 2.8522, acc 0.5
2017-03-02T23:32:25.721311: step 27, loss 2.55421, acc 0.484375
2017-03-02T23:32:25.823282: step 28, loss 2.21069, acc 0.5
2017-03-02T23:32:25.913695: step 29, loss 3.10281, acc 0.34375
2017-03-02T23:32:26.036738: step 30, loss 2.44614, acc 0.546875
2017-03-02T23:32:26.138114: step 31, loss 1.577, acc 0.53125
2017-03-02T23:32:26.245462: step 32, loss 2.4265, acc 0.453125
2017-03-02T23:32:26.347395: step 33, loss 1.98004, acc 0.46875
2017-03-02T23:32:26.454772: step 34, loss 1.76581, acc 0.4375
2017-03-02T23:32:26.556033: step 35, loss 1.74588, acc 0.578125
2017-03-02T23:32:26.658350: step 36, loss 1.98326, acc 0.5625
2017-03-02T23:32:26.765222: step 37, loss 2.19324, acc 0.4375
2017-03-02T23:32:26.872351: step 38, loss 2.69011, acc 0.40625
2017-03-02T23:32:26.979089: step 39, loss 2.33278, acc 0.5
2017-03-02T23:32:27.084104: step 40, loss 2.4364, acc 0.453125
2017-03-02T23:32:40.173565: step 41, loss 3.04869, acc 0.42
2017-03-02T23:32:40.282665: step 42, loss 2.29001, acc 0.515625
2017-03-02T23:32:40.384388: step 43, loss 1.8335, acc 0.515625
2017-03-02T23:32:40.494210: step 44, loss 1.86124, acc 0.515625
2017-03-02T23:32:40.594801: step 45, loss 2.05497, acc 0.4375
2017-03-02T23:32:40.688907: step 46, loss 2.18689, acc 0.46875
2017-03-02T23:32:40.796199: step 47, loss 2.45856, acc 0.453125
2017-03-02T23:32:40.908682: step 48, loss 1.68911, acc 0.515625
2017-03-02T23:32:41.017248: step 49, loss 1.56571, acc 0.546875
2017-03-02T23:32:41.121020: step 50, loss 1.95472, acc 0.53125
2017-03-02T23:32:41.235332: step 51, loss 2.00701, acc 0.4375
2017-03-02T23:32:41.332838: step 52, loss 2.21188, acc 0.5625
2017-03-02T23:32:41.434224: step 53, loss 2.02527, acc 0.546875
2017-03-02T23:32:41.535119: step 54, loss 1.93688, acc 0.578125
2017-03-02T23:32:41.637105: step 55, loss 2.87961, acc 0.4375
2017-03-02T23:32:41.753239: step 56, loss 2.0525, acc 0.46875
2017-03-02T23:32:41.855538: step 57, loss 1.78651, acc 0.515625
2017-03-02T23:32:41.953195: step 58, loss 2.35536, acc 0.453125
2017-03-02T23:32:42.047343: step 59, loss 1.9618, acc 0.46875
2017-03-02T23:32:42.159910: step 60, loss 1.95356, acc 0.4375
2017-03-02T23:32:42.261567: step 61, loss 2.12466, acc 0.40625
2017-03-02T23:32:42.370575: step 62, loss 2.11835, acc 0.421875
2017-03-02T23:32:42.475098: step 63, loss 1.5253, acc 0.578125
2017-03-02T23:32:42.575384: step 64, loss 2.53491, acc 0.375
2017-03-02T23:32:42.682029: step 65, loss 1.83342, acc 0.65625
2017-03-02T23:32:42.778211: step 66, loss 1.65376, acc 0.640625
2017-03-02T23:32:42.875697: step 67, loss 1.74975, acc 0.5625
2017-03-02T23:32:42.979640: step 68, loss 1.96616, acc 0.5
2017-03-02T23:32:43.097261: step 69, loss 1.85969, acc 0.515625
2017-03-02T23:32:43.205556: step 70, loss 1.71074, acc 0.625
2017-03-02T23:32:43.305592: step 71, loss 1.92105, acc 0.453125
2017-03-02T23:32:43.408450: step 72, loss 1.59447, acc 0.625
2017-03-02T23:32:43.497948: step 73, loss 1.82112, acc 0.5625
2017-03-02T23:32:43.589134: step 74, loss 1.85325, acc 0.546875
2017-03-02T23:32:43.689134: step 75, loss 1.636, acc 0.546875
2017-03-02T23:32:43.794655: step 76, loss 1.69281, acc 0.515625
2017-03-02T23:32:43.909925: step 77, loss 1.63751, acc 0.5
2017-03-02T23:32:44.013092: step 78, loss 1.57144, acc 0.546875
2017-03-02T23:32:44.119686: step 79, loss 1.8213, acc 0.484375
2017-03-02T23:32:44.231317: step 80, loss 1.75649, acc 0.484375
2017-03-02T23:32:44.321890: step 81, loss 1.9509, acc 0.453125
2017-03-02T23:32:44.418105: step 82, loss 1.29253, acc 0.72
2017-03-02T23:32:44.531155: step 83, loss 1.22397, acc 0.625
2017-03-02T23:32:44.636334: step 84, loss 1.58839, acc 0.59375
2017-03-02T23:32:44.746542: step 85, loss 1.68118, acc 0.53125
2017-03-02T23:32:44.855179: step 86, loss 0.975896, acc 0.625
2017-03-02T23:32:44.960510: step 87, loss 1.53197, acc 0.515625
2017-03-02T23:32:45.054291: step 88, loss 1.74873, acc 0.453125
2017-03-02T23:32:45.152708: step 89, loss 1.44365, acc 0.546875
2017-03-02T23:32:45.259592: step 90, loss 1.97364, acc 0.4375
2017-03-02T23:32:45.363629: step 91, loss 1.71537, acc 0.546875
2017-03-02T23:32:45.484213: step 92, loss 1.83136, acc 0.53125
2017-03-02T23:32:45.590287: step 93, loss 1.86707, acc 0.5
2017-03-02T23:32:45.697212: step 94, loss 1.43587, acc 0.5625
2017-03-02T23:32:45.786365: step 95, loss 1.93457, acc 0.53125
2017-03-02T23:32:45.875253: step 96, loss 1.95415, acc 0.53125
2017-03-02T23:32:45.979665: step 97, loss 1.45813, acc 0.515625
2017-03-02T23:32:46.093597: step 98, loss 1.44072, acc 0.546875
2017-03-02T23:32:46.196249: step 99, loss 1.76884, acc 0.421875
2017-03-02T23:32:46.302126: step 100, loss 1.59636, acc 0.59375

Evaluation:
2017-03-02T23:32:46.508121: step 100, loss 1.08534, acc 0.553633

Saved model checkpoint to /atlas/u/jdunnmon/tutorial/cnn-text-classification-tf/runs/1488526215/checkpoints/model-100

2017-03-02T23:32:47.042829: step 101, loss 1.03313, acc 0.625
2017-03-02T23:32:47.145007: step 102, loss 1.26955, acc 0.546875
2017-03-02T23:32:47.253865: step 103, loss 1.28713, acc 0.5625
2017-03-02T23:32:47.350824: step 104, loss 1.4488, acc 0.578125
2017-03-02T23:32:47.449632: step 105, loss 1.2881, acc 0.578125
2017-03-02T23:32:47.554860: step 106, loss 1.38262, acc 0.609375
2017-03-02T23:32:47.658810: step 107, loss 1.61246, acc 0.5625
2017-03-02T23:32:47.761728: step 108, loss 1.64049, acc 0.5625
2017-03-02T23:32:47.864674: step 109, loss 1.6095, acc 0.53125
2017-03-02T23:32:47.968563: step 110, loss 1.62157, acc 0.578125
2017-03-02T23:32:48.054112: step 111, loss 1.83165, acc 0.5
